"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20220201 ~ 20220228"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이(12-2)","168.42","202202","7","246,000","2","2004","개포로109길 69","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","138","0138","0000","디에이치아너힐즈","131.3226","202202","22","590,000","8","2019","삼성로 11","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","225-6","0225","0006","논현아이파크","47.46","202202","23","100,000","7","2020","언주로 615","","중개거래","서울 동대문구"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202202","19","39,000","9","2004","학동로 165","","중개거래","서울 중구"
"서울특별시 강남구 논현동","47-11","0047","0011","벨러스빌","86.51","202202","14","65,000","5","2004","학동로5길 17","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","22","0022","0000","신동아(22)","114.34","202202","4","229,000","10","1997","강남대로146길 28","","중개거래","서울 강남구, 서울 송파구"
"서울특별시 강남구 대치동","891-26","0891","0026","대우아이빌멤버스(891-26)","51.026","202202","15","54,500","10","2003","삼성로85길 42","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-26","0891","0026","대우아이빌멤버스(891-26)","35.236","202202","18","34,000","7","2003","삼성로85길 42","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-23","0891","0023","대우아이빌명문가(891-23)","35.72","202202","8","29,000","8","2004","선릉로90길 56","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-23","0891","0023","대우아이빌명문가(891-23)","34.2","202202","11","30,750","8","2004","선릉로90길 56","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","65","0065","0000","쌍용대치2","120.76","202202","11","309,000","7","1983","영동대로 220","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202202","8","214,000","1","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-6","0891","0006","테헤란로대우아이빌(891-6)","33.11","202202","3","38,000","15","2004","테헤란로 428","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-6","0891","0006","테헤란로대우아이빌(891-6)","33.11","202202","4","43,600","23","2004","테헤란로 428","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","953-1","0953","0001","SK허브프리모","33.8","202202","18","36,800","8","2006","강남대로 240","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","467-6","0467","0006","대림아크로빌","130.545","202202","14","277,000","31","1999","언주로30길 13","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","952","0952","0000","대우디오빌","25.89","202202","5","24,000","7","2004","강남대로 256","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","463-1","0463","0001","우성사원5","70.89","202202","11","230,000","9","1986","언주로29길 34","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","467-17","0467","0017","타워팰리스2","164.99","202202","10","404,000","11","2003","언주로30길 57","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","467-29","0467","0029","타워팰리스3","124.641","202202","10","300,000","52","2004","언주로30길 26","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","467-19","0467","0019","현대비젼21","33.1","202202","4","42,000","20","1999","언주로30길 10","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","189","0189","0000","래미안라클래시","101.98","202202","4","381,220","7","2021","삼성로 651","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","189","0189","0000","래미안라클래시","84.99","202202","4","339,983","23","2021","삼성로 651","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","189","0189","0000","래미안라클래시","101.98","202202","9","401,430","20","2021","삼성로 651","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","16-2","0016","0002","삼성동힐스테이트 1단지","26.5","202202","11","105,000","6","2008","학동로68길 29","","중개거래","서울 강남구, 서울 서초구"
"서울특별시 강남구 삼성동","143-37","0143","0037","현대타워(13층-27층)","149.99","202202","15","225,000","26","1998","테헤란로 423","","중개거래","서울 강남구"
"서울특별시 강남구 수서동","746","0746","0000","까치마을","34.44","202202","15","100,000","9","1993","광평로19길 10","","중개거래","서울 강남구"
"서울특별시 강남구 압구정동","456","0456","0000","현대7차(73~77,82,85동)","144.2","202202","9","500,000","14","1979","압구정로 201","","중개거래","서울 강남구"
"서울특별시 강남구 역삼동","823-7","0823","0007","강남역우정에쉐르","17.23","202202","16","20,500","11","2004","테헤란로10길 10","","중개거래","서울 강남구"
